Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
36,,657,,0.948875449310663,,0.9627996954352717,,,0.987498761334181,0.9872117715078764,0.9876181427970028,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,18
37,,590,,0.947680582506854,,0.9617818657803036,,,0.987155223003992,0.9870805008176249,0.9870486612543405,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,17
38,,657,,0.9460923536594203,,0.9607705298679698,,,0.9868118041864434,0.9865233823241026,0.9869109195476162,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,19
39,,590,,0.9448806732224828,,0.9597548453579363,,,0.9864685048399582,0.9863922031697566,0.9863418458048616,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,18
40,,657,,0.9433174209566558,,0.9587456409045345,,,0.986125324922974,0.9858354731585806,0.9862042027335644,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,20
41,,590,,0.9420890362316945,,0.9577320970183966,,,0.9857822643939426,0.9857043854763113,0.9856355364986955,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,19
42,,657,,0.9405506272600621,,0.9567250195317326,,,0.9854393232113307,0.98514804367659,0.9854979919921938,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,21
43,,590,,0.9393056470941101,,0.955713611757981,,,0.9850965013336191,0.9850170474026134,0.9849297329733988,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,20
44,,657,,0.9377919486975577,,0.9547086567553285,,,0.9847537987193032,0.9844610935436445,0.9847922869611112,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,22
45,,590,,0.9365304814415614,,0.9536993805919614,,,0.9844112153268925,0.9843301886142212,0.9842244348667868,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,21
46,,657,,0.9350413614670781,,0.9526965436000406,,,0.9840687511149113,0.9837746224254909,0.9840870872781825,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,23
47,,590,,0.9337635149778741,,0.9516893945545449,,,0.9837264060418984,0.9836438087769255,0.9835196418169341,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,22
48,,657,,0.9322988418363708,,0.9506886711095055,,,0.9833841800664068,0.9830886299881089,0.983382392581533,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,24
49,,590,,0.931004723478657,,0.949683644698836,,,0.9830420731470038,0.9829579075567508,0.9828153534621749,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,23
50,,657,,0.929564366142793,,0.9486850303462346,,,0.9827000852422715,0.9824031158977116,0.9826782025095473,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,25
51,,590,,0.9282540827910895,,0.9476821220967948,,,0.9823582163108061,0.9822724846199544,0.982111569441102,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,24
52,,657,,0.9268379107931042,,0.9466856123915766,,,0.9820164663112183,0.9817180798207447,0.9819745167008688,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,26
53,,590,,0.9255115688337112,,0.9456848178391981,,,0.9816748352021334,0.9815875396330264,0.9814082893925674,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,25
54,,657,,0.9241194522632638,,0.9446904083456759,,,0.9813333229421907,0.9810335214238859,0.9812713347943993,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,27
55,,590,,0.9227771575962084,,0.943691723035599,,,0.9809919294900442,0.9809030722626888,0.9807055129556813,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,26
56,,657,,0.9214089670982295,,0.9426994093274345,,,0.980650654804362,0.9803494403740459,0.9805686564293,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,28
57,,590,,0.9200508251392062,,0.9417028288142882,,,0.9803094988438269,0.9802190821758967,0.9800032397698129,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,27
58,,657,,0.9187064319117522,,0.9407126064744717,,,0.9799684615671359,0.9796658363383675,0.9798664812449903,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,29
59,,590,,0.917332547594059,,0.9397181263222539,,,0.9796275429330003,0.979535569039837,0.979301469474589,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,28
60,,657,,0.9160118233861768,,0.9387299909430854,,,0.9792867429001461,0.9789827089842258,0.9791648088811471,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,30
